id,x,y,productionLine,description,solution,status,image,imageAfter,zone,createdAt,is_deleted,updatedAt,pic,category,factory,inspectionType
1,996.143206,728.4603797,"Pre-treatment 3",อุปกรณ์ไม่รู้ในกรอบและไปกรีดขวางถังดับเพลิง,จัดเก็บอุปกรณ์ให้อยู่ในกรอบและไม่กีดขวางถังดับเพลิง,Closed,http://172.16.76.228:6500/5sRedtag/uploads/6a0a88f367d8e.jpg,http://172.16.76.228:6500/5SRedTag/uploads/6a144e5db0328.jpg,1,"5/18/2026 10:36",1,"15/6/2026 11:01","Woranet,Tanawat MT5652","Seiton (สะดวก)","1st Floor",5S,F10-11
2,1049.216114,608.1642901,,"1. มีผ้าหัว,กลาง,ท้ายไลน์ไม่มีพื้นที่จัดเก็บ
2.ป้ายสถานะการทำงานสีแดงหลุดไม่ทำการแก้ไข
3. มีคันโยกวาวล์วางวางไว้ไม่ทราบที่มา
","1. 5ส.ผ้าหัว,กลาง,ท้ายไลน์
2.ทำการแก้ไขป้ายสถานะการทำงานสีแดง
3.5ส.คันโยกวาล์ว",Closed,http://172.16.76.228:6500/5SRedTag/uploads/6a0a8959cdae3.jpg,http://172.16.76.228:6500/5SRedTag/uploads/6a17abef64150.png,1,"5/18/2026 10:39",1,"15/6/2026 11:01"," Surat","Seisou (สะอาด)","1st Floor",5S,F10-11
3,996,445,CF5," ล้อเข็นไม่มีที่จัดเก็บ
ขณะที่น้องเบรค ตอนเที่ยง
",มีกรอบเรียบร้อยแล้ว,Closed,http://172.16.76.228:6500/5SRedTag/uploads/6a0d4216497c2.jpg,http://172.16.76.228:6500/5SRedTag/uploads/6a167bf888240.jpg,1,"5/20/2026 12:13",1,"15/6/2026 11:01","      Production. Staff. Srisamon","Seiton (สะดวก)","1st Floor",5S,F10-11
4,1202.319366,942.0649814,"ชั้นวางงานNG 24CY",กล่องวาวเลยพื้อนที่จัดเก็บ,จัดเก็บ,Closed,http://172.16.76.228:6500/5SRedTag/uploads/6a13bfc6879ba.jpg,http://172.16.76.228:6500/5SRedTag/uploads/6a13bfe73b3bd.jpg,3,"5/25/2026 10:20",1,"15/6/2026 11:05",,"Seiri (สะสาง)","1st Floor",5S,F10-11
5,1086.324829,1105.203262,,ถุงมือวางบนพื้นที่แพ็คงาน,,Open,http://172.16.76.228:6500/5SRedTag/uploads/6a13c0a4ee204.jpg,,3,"5/25/2026 10:23",1,"15/6/2026 11:05",,"Seiri (สะสาง)","1st Floor",5S,F10-11
6,1058.043684,550.8439614,"Curing13 hrs",ไม่มีการถอดถอนหรือติดป้ายท่อและปลั๊กไฟที่ไม่ได้ใช้งาน,,"Need help",http://172.16.76.228:6500/5SRedTag/uploads/6a13d97d0838b.jpg,,1,"5/25/2026 12:13",1,"15/6/2026 11:01",MT5625,"Seiri (สะสาง)","1st Floor",5S,F10-11
7,485,621,SA,Test,,Open,http://localhost:8080/5SRedTag/uploads/6a2fbc78d9e9e.jpg,,3,"15/6/2026 10:49",1,"15/6/2026 11:05",Kridsada,"Seiri (สะสาง)","1st Floor",5S,F10-11
8,512,942,SA,test,,Open,http://localhost:8080/5SRedTag/uploads/6a2fbfa5cfea3.jpg,,1,"15/6/2026 11:02",1,"15/6/2026 11:05",Kridsada,"Seiri (สะสาง)","1st Floor",5S,F10-11
9,550,410,SA,Test,,Open,http://localhost:8080/5SRedTag/uploads/6a2fc0844e841.jpg,,1,"15/6/2026 11:06",1,"16/6/2026 4:54",Kridsada,"Seiri (สะสาง)","1st Floor",5S,F10-11
10,773.5,739.5,IQC,Test,,Open,http://localhost:8080/5SRedTag/uploads/6a30b90721123.jpg,,"QC incoming","16/6/2026 4:46",1,"17/6/2026 8:10",,"Seiri (สะสาง)","1st Floor",5S,F10-11
11,732,741.9496308,IQC,ะำหะ,,Open,http://localhost:8080/5SRedTag/uploads/6a30bbdc1c5d9.jpg,,"QC incoming","16/6/2026 4:58",1,"17/6/2026 8:10",,"Seiri (สะสาง)","1st Floor",5S,F10-11
12,734,783.9509176,IQC,ทด่ท,,Open,http://localhost:8080/5SRedTag/uploads/6a30bd9fd8e31.jpg,,"QC incoming","16/6/2026 10:06",1,"17/6/2026 8:10",,"Seiri (สะสาง)","1st Floor",5S,F10-11
13,644,296,SA,vsv,,Open,http://localhost:8080/5SRedTag/uploads/6a30fab2e51d6.jpg,,ik,"16/6/2026 14:27",1,"17/6/2026 8:10",,"Seiketsu (สุขลักษณะ)","1st Floor",5S,F10-11
14,608,1308,MT5252,โต๊ะไม่สะอาด,ทำความสะอาดโต๊ะ,Closed,http://localhost:8080/5SRedTag/uploads/6a31f2bcbaa69.jpg,http://localhost:8080/5SRedTag/uploads/6a31f2eda5531.jpg,"Staff Area","17/6/2026 8:05",1,"17/6/2026 8:07",Kridsada,"Seiri (สะสาง)","2nd Floor",5S,F10-11
15,556,1038,"Relax zone",การจัดเก็บเก้าอี้ไม่เป็นระเบียบ,จัดเก็บเก้าอี้ให้เป็นระเบียบ,Closed,http://localhost:8080/5SRedTag/uploads/6a3204d485b2a.jpg,http://localhost:8080/5SRedTag/uploads/6a320516c181c.jpg,"Relax zone near staff room 2nd floor","17/6/2026 9:22",1,"17/6/2026 15:00",Kridsada,"Seiton (สะดวก)","2nd Floor",5S,F10-11
16,636,436,MT5252,ไม่เก็บโต๊ะ,เก็บโต๊ะเข้าที่,Closed,http://localhost:8080/5SRedTag/uploads/6a334d01a4b85.jpg,http://localhost:8080/5SRedTag/uploads/6a334d4e432bb.jpg,"Staff Area","18/6/2026 8:42",1,"24/6/2026 15:33",Kridsada,"Seiri (สะสาง)","2nd Floor",5S,F10-11
17,439.2381592,1012.552491,MT5252,ีนนนรน,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b5672a4a46.jpg,,"Staff Area","24/6/2026 11:01",1,"24/6/2026 15:32",,"Shitsuke (สร้างนิสัย)","2nd Floor",5S,F10-11
18,362.666687,1037.782048,"Big cleaning day",test,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b78340611f.jpg,,"JCS Area","24/6/2026 13:25",1,"24/6/2026 15:32",,"Shitsuke (สร้างนิสัย)","1st Floor",5S,F10-11
19,502,1582,โต๊ะพี่ปรียา,ถอดถุงมือวางไว้บนโต๊ะ,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b96a7e07c2.jpg,,"Staff zone 1st floor,Meeting room 1,Storage room under the stairs,Restroom on the east side,Relax room 1st floor","24/6/2026 15:35",1,"26/6/2026 16:10",,"Shitsuke (สร้างนิสัย)","1st Floor",5S,F10-11
20,561.333374,1107.579589,Mt5252,"(Big cleaning)",Test,Closed,http://10.51.15.37:8080/5SRedTag/uploads/6a3e4299bbaeb.jpg,http://10.51.15.37:8080/5SRedTag/uploads/6a3e42a275be6.jpg,"Staff Area","25/6/2026 11:14",1,"2026-07-02 13:10:31",Prem,"Seiri (สะสาง)","2nd Floor",F10-11,F10-11
21,643.1294466,1251.8297,MT5252,ไม่ทำความสะอาด,ทำความสะอาด,Closed,http://10.51.15.98:8080/5SRedTag/uploads/6a3cc0ba48e37.jpg,http://10.51.15.98:8080/5SRedTag/uploads/6a3cc132c6b81.jpg,"Staff Area","25/6/2026 12:47",1,"2026-07-02 13:11:10",Kridsada,"Seiri (สะสาง)","2nd Floor",F10-11,F10-11
22,208,1512,ท้ายไลน์3M08,สภาพ5Sไม่ดี,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3cce034c349.jpg,,"3M08 + SA9","25/6/2026 13:44",1,"26/6/2026 16:10",Sakun+Sirinya,"Seiri (สะสาง)","1st Floor",5S,F10-11
23,663,1253.071527,โต๊ะพี่นุ้ย,ไม่สะอาด,Gjjgcgjk,Closed,http://192.168.103.16:8080/5SRedTag/uploads/6a44626ac55fd.jpg,http://192.168.103.16:8080/5SRedTag/uploads/6a44641eddf93.jpg,"Staff Area","1/7/2026 7:44",1,"2026-07-02 13:10:54",Gjvhj,"Seiton (สะดวก)","2nd Floor",F10-11,F10-11
24,644.333313,224.0871259,SA-X27," ไม่ได้สถานะที่ชัดเจนว่าเป็นทางเดินล้อ",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a4466914f97b.jpg,,SA517-SA-X27,"1/7/2026 8:01",0,"2026-07-02 08:30:39",สุพรรณี,Low,"2nd Floor",Safety,F10-11
25,533,145.2385205,"Relax zone","ประตูสถานะไม่ชัดเจน(ให้เปิดปิดตลอด แต่ประตูเปิดไว้)",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a4468d6b20fd.jpg,,"Relax zone font 2nd floor","1/7/2026 8:10",0,"2026-07-02 08:30:45",สุพรรณี,Low,"2nd Floor",Safety,F10-11
26,460,224.9357312," Relax zone"," สถานะไม่ชัดเจน(บางครั้งยังล้อผ่าน)",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a44695ca4ed5.jpg,,"Relax zone font 2nd floor","1/7/2026 8:27",0,"2026-07-02 08:30:56",สุพรรณี,Low,"2nd Floor",Safety,F10-11
27,650,674,"n hnyh",mfujmy,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44934837411.jpg,,"QC incoming","1/7/2026 11:11",1,"2026-07-02 08:30:09",,,"1st Floor",F10-11,F10-11
28,616,950.1377755,etfr,rvrr,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44bd98039b9.jpg,,"QC incoming","1/7/2026 14:11",1,"2026-07-02 13:09:35",,"Seiri (สะสาง)","1st Floor",F10-11,F10-11
29,572,849.9527559,vrtvr,rtr,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44bdb990f38.jpg,,"QC incoming","1/7/2026 14:12",1,"2026-07-02 08:30:18",,,"1st Floor",F10-11,F10-11
30,568,572,MT5252,ืทีรท,้ึุุ้้่่,Closed,http://localhost:8080/MT5200%20Patrol/uploads/6a44c8f95f7fb.jpg,http://localhost:8080/MT5200%20Patrol/uploads/6a44d27fef6a7.jpg,"QC incoming","1/7/2026 14:59",1,"2026-07-02 08:30:25",่ึ่านรม,,"1st Floor",F10-11,F10-11
31,650,430,Test,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a45bf0136a43.jpg,,"QC incoming","2026-07-02 08:29:43",1,"2026-07-02 13:09:40",,Low,"1st Floor",F10-11,F10-11
